OBJECTID,Order_,ID,Depth_m,Temp_C,Length_m,Speed_kmh,Direction_,Lat,Long,Depth_Adju,geometry,Temp
1,1,1,0.4,17.7,2,0.8,44,62.48985,-114.40197,0.6,POINT (633861.6588208731 6931444.290939059),-14.116113662719727
2,2,2,0.4,17.9,11,4.0,66,62.4899,-114.40142,0.6,POINT (633889.7619429054 6931450.998240907),-14.105748176574707
3,3,3,0.4,17.9,12,4.0,49,62.48994,-114.40121,0.6,POINT (633900.3984783748 6931455.887359049),-14.109203338623047
4,4,4,0.4,18.0,11,4.0,25,62.49019,-114.40076,0.6,POINT (633922.4544485146 6931484.65625263),-14.095383644104004
5,5,5,0.4,18.0,12,4.0,20,62.49028,-114.40067,0.6,POINT (633926.6862657703 6931494.86377712),-14.098837852478027
6,6,6,0.4,18.0,13,5.0,22,62.49038,-114.40059,0.6,POINT (633930.3581896983 6931506.164000828),-14.098837852478027
7,7,7,0.4,17.9,11,4.0,324,62.49253,-114.40058,0.6,POINT (633921.2338300534 6931745.572623756),-14.313312530517578
8,8,8,0.4,17.9,11,4.0,336,62.49261,-114.40071,0.6,POINT (633914.1802492412 6931754.210502524),-14.27522087097168
9,9,9,0.4,17.9,12,4.0,345,62.49271,-114.4008,0.6,POINT (633909.0970059959 6931765.158201989),-14.237146377563477
10,10,10,0.4,18.0,11,4.0,21,62.49281,-114.40086,0.6,POINT (633905.5587604279 6931776.168113567),-14.237146377563477
11,11,11,0.4,18.0,13,5.0,39,62.49291,-114.40078,0.6,POINT (633909.2303578863 6931787.468319103),-14.212925910949707
12,12,12,0.4,18.0,13,5.0,37,62.493,-114.40063,0.6,POINT (633916.5516603636 6931797.800251957),-14.230225563049316
13,13,13,0.4,18.0,13,5.0,30,62.49309,-114.40048,0.6,POINT (633923.8729154011 6931808.132201497),-14.230225563049316
14,14,14,0.4,18.1,13,5.0,21,62.49319,-114.40035,0.6,POINT (633930.1193188056 6931819.536121942),-14.219844818115234
15,15,15,0.4,18.1,13,5.0,13,62.4933,-114.40026,0.6,POINT (633934.2609133115 6931831.970527984),-14.219844818115234
16,16,16,0.4,18.1,13,5.0,10,62.49341,-114.40021,0.6,POINT (633936.3425587146 6931844.321979497),-14.219844818115234
17,17,17,0.4,18.2,12,4.0,13,62.49352,-114.40017,0.6,POINT (633937.9092079224 6931856.652692419),-14.219844818115234
18,18,18,0.4,18.2,7,3.0,37,62.49363,-114.40011,0.6,POINT (633940.5057909163 6931869.024887297),-14.219844818115234
19,19,19,0.4,18.3,54,19.0,245,62.49368,-114.40003,0.6,POINT (633944.4013649877 6931874.757974479),-14.219844818115234
20,21,21,0.4,18.3,15,5.0,88,62.49351,-114.40061,0.6,POINT (633915.2950672433 6931854.626771167),-14.219844818115234
21,22,22,0.4,18.4,13,5.0,90,62.49351,-114.40005,0.6,POINT (633944.133772064 6931855.788147837),-14.219844818115234
22,23,23,0.4,18.4,12,4.0,90,62.49352,-114.39979,0.6,POINT (633957.4783193804 6931857.440875374),-14.25098991394043
23,24,24,0.4,18.5,12,4.0,91,62.49351,-114.39955,0.6,POINT (633969.8826094475 6931856.825302735),-14.25098991394043
24,25,25,0.4,17.4,11,4.0,239,62.48983,-114.40032,0.6,POINT (633946.7301305905 6931445.485221721),-14.091928482055664
25,26,26,0.4,17.5,11,4.0,231,62.48967,-114.40085,0.6,POINT (633920.1502527604 6931426.571159743),-14.095383644104004
26,27,27,0.4,17.5,11,4.0,228,62.48961,-114.40101,0.6,POINT (633912.1785178995 6931419.558791302),-14.098837852478027
27,28,28,0.4,17.5,10,4.0,231,62.48955,-114.40116,0.6,POINT (633904.7217945494 6931412.567176573),-14.098837852478027
28,29,29,0.4,17.5,10,3.0,225,62.48949,-114.40131,0.6,POINT (633897.2650394738 6931405.575578943),-14.098837852478027
29,30,30,0.4,17.5,9,3.0,211,62.48943,-114.40145,0.6,POINT (633890.3233001912 6931398.604730349),-14.098837852478027
30,31,31,0.4,17.5,7,3.0,131,62.48936,-114.40154,0.6,POINT (633886.0015911739 6931390.624119911),-14.067749977111816
31,32,32,0.4,17.5,9,3.0,66,62.48932,-114.40143,0.6,POINT (633891.8464026079 6931386.398440465),-14.067749977111816
32,33,33,0.4,17.5,11,4.0,57,62.48935,-114.40127,0.6,POINT (633899.9527281057 6931390.07046238),-14.067749977111816
33,34,34,0.4,17.5,11,4.0,60,62.48941,-114.40109,0.6,POINT (633908.954658824 6931397.124269914),-14.098837852478027
34,35,35,0.4,17.5,11,4.0,64,62.48945,-114.40091,0.6,POINT (633918.0462070918 6931401.951238394),-14.091928482055664
35,36,36,0.4,17.4,11,4.0,64,62.4895,-114.40071,0.6,POINT (633928.1229909938 6931407.933139443),-14.091928482055664
36,37,37,0.4,17.4,8,3.0,70,62.4925,-114.39038,0.6,POINT (634446.6613563141 6931763.425968632),-14.306386947631836
37,38,38,0.4,18.8,9,3.0,82,62.49258,-114.39047,0.6,POINT (634441.6663546944 6931772.146019157),-14.306386947631836
38,39,39,0.4,16.9,12,4.0,213,62.48857,-114.40129,0.6,POINT (633902.4186759619 6931303.181294817),-13.978005409240723
39,40,40,0.4,16.9,10,4.0,225,62.48848,-114.40141,0.6,POINT (633896.6412976198 6931292.911607459),-13.978005409240723
40,41,41,0.4,16.9,10,4.0,264,62.48842,-114.40155,0.6,POINT (633889.6993012317 6931285.940763365),-13.978005409240723
41,42,42,0.4,16.9,9,3.0,295,62.48841,-114.40175,0.6,POINT (633879.4428143911 6931284.412712898),-14.002158164978027
42,43,43,0.4,16.9,12,4.0,330,62.48853,-114.40202,0.6,POINT (633864.9983539265 6931297.214217179),-14.002158164978027
